GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10843,M1G,181.0,2.0,775,76.33333333333333,1,0
120,10360,L7M,194.0,4.0,908,90.83333333333333,2,0
120,10884,P0K,179.0,2.0,935,91.33333333333333,3,0
120,10238,L6G,178.0,2.0,955,94.16666666666667,6,0
120,11164,L2N,196.0,6.0,837,81.83333333333333,1,0
120,10890,L1S,178.0,1.0,938,91.83333333333333,2,0
119,10666,L6M,178.0,1.0,945,93.83333333333333,2,0
120,10742,L4N,191.0,1.0,932,93.16666666666667,3,0
119,10841,M1N,179.0,3.0,885,84.5,4,0
120,10487,K0A,191.0,1.0,963,93.83333333333333,3,0
120,10918,M8X,178.0,1.0,902,90.0,5,0
120,10717,L6J,194.0,1.0,908,89.83333333333333,2,0
120,10782,P0R,195.0,1.0,787,78.66666666666667,2,0
120,10616,N6J,178.0,1.0,913,90.16666666666667,3,0
120,10725,L5M,194.0,4.0,835,81.5,1,0
119,10930,L3Y,196.0,2.0,873,85.33333333333333,2,1
120,10211,L7K,178.0,1.0,937,92.16666666666667,2,0
120,10383,K7M,199.0,5.0,843,84.0,2,0
120,10630,K6V,191.0,1.0,943,92.16666666666667,2,0
119,11030,M4G,191.0,3.0,905,87.0,5,0
120,10660,L1J,181.0,2.0,868,84.0,3,0
120,11051,L5J,179.0,1.0,937,91.5,5,0
120,10273,L5N,196.0,3.0,907,88.5,4,0
120,10850,K7K,196.0,3.0,848,84.83333333333333,3,1
120,10835,L4G,178.0,1.0,918,90.16666666666667,3,0
120,10905,N2C,178.0,1.0,890,89.0,3,0
120,10818,L5W,178.0,1.0,982,95.33333333333333,3,0
119,10922,L5N,178.0,1.0,892,89.16666666666667,3,0
120,10672,L4S,197.0,5.0,858,85.83333333333333,7,0
120,10383,K7M,191.0,1.0,972,96.16666666666667,3,0
119,11140,M3H,194.0,3.0,908,90.83333333333333,1,0
120,11210,L0S,196.0,1.0,873,87.33333333333333,1,1
120,10567,L6G,194.0,1.0,937,92.83333333333333,6,0
120,10717,L6J,179.0,1.0,842,84.16666666666667,5,0
120,10884,P0K,179.0,2.0,897,88.5,3,0
120,11164,L2M,197.0,4.0,805,66.66666666666667,3,0
120,10499,L2H,196.0,1.0,962,95.5,1,1
120,10717,L6J,192.0,5.0,810,78.5,4,0
119,10972,L9Y,194.0,1.0,903,75.83333333333333,3,0
120,10835,L7B,196.0,2.0,855,79.83333333333333,2,1
120,10851,L5H,178.0,1.0,892,87.16666666666667,4,0
120,10771,L2M,199.0,3.0,905,90.0,1,0
120,10614,K4A,193.0,1.0,920,88.0,3,0
119,10301,L5L,178.0,1.0,960,96.0,3,0
120,10273,L5B,199.0,2.0,717,71.66666666666667,3,0
120,10817,N0M,179.0,1.0,868,86.83333333333333,3,0
120,10646,M9A,194.0,1.0,993,98.5,3,0
120,10738,L6H,179.0,1.0,872,86.0,3,0
120,10801,L6V,178.0,4.0,920,92.0,1,0
120,10505,L0R,178.0,3.0,870,87.0,4,0
120,10930,L9N,196.0,2.0,875,86.66666666666667,2,1
119,10370,N6K,178.0,3.0,913,91.33333333333333,4,0
120,10379,M5M,194.0,1.0,985,98.33333333333333,4,0
120,10647,L4S,196.0,3.0,875,86.66666666666667,3,1
120,10896,L1V,191.0,1.0,908,88.83333333333333,4,0
120,11013,M4W,191.0,1.0,880,85.66666666666667,5,0
120,10698,M4A,176.0,9.0,748,74.83333333333333,4,0
120,10638,N3P,191.0,3.0,967,96.5,4,0
120,10452,N3W,196.0,1.0,922,92.16666666666667,1,1
120,10394,L4G,196.0,3.0,873,86.5,3,1
120,10338,L3R,179.0,1.0,865,86.5,4,0
120,10565,N9E,194.0,1.0,928,91.16666666666667,2,0
120,10872,K1Y,178.0,1.0,913,90.0,3,0
120,10462,M9B,194.0,2.0,983,98.0,3,0
120,11240,L6A,175.0,1.0,865,69.0,5,0
120,10273,L9T,178.0,2.0,877,87.66666666666667,3,0
