GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10397,191.0,1.0,928,95.0,3,0,503.542
120,11011,178.0,1.0,878,87.0,3,0,13.14
119,10630,191.0,1.0,965,94.66666666666667,3,0,385.085
120,11010,199.0,1.0,868,84.5,4,0,298.407
120,10812,179.0,2.0,957,95.66666666666667,3,0,117.408
119,10630,191.0,1.0,960,93.33333333333333,2,0,385.085
120,11109,191.0,1.0,952,94.16666666666667,3,0,149.33
120,11188,199.0,1.0,855,85.5,2,0,68.658
120,10262,199.0,1.0,868,86.0,4,0,446.701
119,10557,194.0,6.0,920,89.66666666666667,3,0,29.132
120,10839,196.0,1.0,905,88.5,6,0,101.274
120,10717,193.0,4.0,858,85.33333333333333,2,0,36.619
120,10557,196.0,1.0,955,94.0,1,1,26.523
120,11102,194.0,1.0,987,96.66666666666667,5,0,79.974
119,10474,193.0,5.0,853,82.5,4,0,29.132
119,10532,194.0,1.0,912,91.16666666666667,5,0,63.7
119,10978,194.0,2.0,937,91.16666666666667,4,0,86.654
120,10429,191.0,1.0,952,94.33333333333333,3,0,35.959
120,10737,194.0,5.0,880,88.0,8,0,47.319
119,10812,196.0,1.0,945,94.0,1,1,117.408
120,10338,194.0,1.0,835,79.16666666666667,5,0,101.898
120,10363,193.0,4.0,842,80.16666666666667,3,0,82.955
120,11065,178.0,1.0,953,98.0,3,0,740.482
120,10524,175.0,4.0,828,82.83333333333333,2,0,95.799
120,11054,176.0,5.0,882,87.66666666666667,3,0,77.395
120,10648,196.0,1.0,960,94.16666666666667,1,1,256.089
120,11054,191.0,2.0,843,84.33333333333333,4,0,80.095
120,11054,196.0,5.0,822,80.0,1,0,29.132
120,11065,199.0,1.0,902,94.0,2,0,740.482
120,10297,178.0,2.0,955,94.83333333333333,1,0,156.952
120,11054,196.0,2.0,935,92.83333333333333,2,1,66.4
120,11054,190.0,7.0,835,81.16666666666667,6,0,71.603
119,11048,196.0,3.0,897,87.33333333333333,3,1,82.826
120,11166,194.0,2.0,968,96.83333333333333,5,0,80.095
119,11005,196.0,2.0,883,87.0,2,1,49.237
120,10282,178.0,1.0,947,94.66666666666667,3,0,58.985
120,11013,178.0,2.0,952,93.33333333333333,3,0,80.095
120,10960,178.0,2.0,953,91.83333333333333,5,0,29.132
120,10273,199.0,6.0,710,71.0,3,0,49.865
120,10748,196.0,2.0,903,90.33333333333333,2,1,267.329
120,10619,178.0,1.0,960,95.16666666666667,3,0,76.219
120,10619,179.0,1.0,968,96.66666666666667,3,0,76.219
119,10331,196.0,1.0,872,83.33333333333333,1,1,44.036
120,10779,190.0,2.0,852,84.5,3,0,63.292
120,11241,191.0,1.0,908,90.83333333333333,2,0,149.33
120,11168,194.0,1.0,913,90.16666666666667,4,0,520.91
120,11015,191.0,3.0,898,89.83333333333333,4,0,134.784
120,10960,178.0,2.0,952,92.0,5,0,29.132
120,10564,178.0,7.0,932,90.0,3,0,101.898
120,10619,179.0,1.0,852,84.83333333333333,3,0,76.219
120,10575,191.0,4.0,977,96.5,2,0,225.401
119,10429,191.0,3.0,852,85.16666666666667,2,0,35.959
119,11000,178.0,2.0,965,96.5,3,0,80.391
120,10338,194.0,1.0,933,92.83333333333333,4,0,105.996
120,11023,178.0,1.0,933,93.16666666666667,3,0,51.696
120,10578,178.0,1.0,940,92.16666666666667,3,0,101.898
120,10866,196.0,1.0,957,95.66666666666667,1,1,69.576
