GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10649,179.0,7.0,902,87.66666666666667,3,0
120,11088,190.0,2.0,862,85.16666666666667,5,0
120,10405,179.0,1.0,908,89.66666666666667,4,0
119,11120,178.0,1.0,955,95.5,5,0
120,10405,194.0,1.0,940,94.0,2,0
119,10880,191.0,1.0,952,95.16666666666667,3,0
119,10476,178.0,1.0,957,95.66666666666667,3,0
120,11111,194.0,14.0,852,85.16666666666667,3,0
119,10764,178.0,1.0,913,90.16666666666667,4,0
120,11200,191.0,1.0,952,95.0,2,0
120,10938,194.0,2.0,875,84.0,3,0
119,10874,191.0,1.0,930,93.0,3,0
119,10821,197.0,1.0,922,91.16666666666667,4,0
120,10578,181.0,1.0,910,87.33333333333333,2,0
120,10864,177.0,4.0,807,79.5,3,0
120,10733,,,943,76.16666666666667,3,0
120,10237,191.0,4.0,838,83.5,2,0
120,10329,179.0,2.0,915,88.5,3,0
120,10547,194.0,5.0,908,89.66666666666667,3,0
120,11003,,,905,89.66666666666667,3,0
120,10662,191.0,1.0,938,91.33333333333333,5,0
120,10618,199.0,2.0,818,81.83333333333333,3,0
120,10887,,,703,70.33333333333333,1,0
119,10261,178.0,1.0,990,98.83333333333333,3,0
120,10567,194.0,1.0,958,95.16666666666667,3,0
120,10315,,,943,93.66666666666667,3,0
120,10801,178.0,1.0,945,92.83333333333333,5,0
120,10955,191.0,4.0,872,86.16666666666667,1,0
120,10316,,,813,80.66666666666667,4,0
120,10282,175.0,5.0,748,73.5,4,0
120,11220,178.0,1.0,970,94.83333333333333,3,0
119,11219,193.0,2.0,877,86.83333333333333,3,0
120,10423,191.0,1.0,907,59.333333333333336,6,0
119,10484,191.0,1.0,938,91.5,3,0
119,10431,191.0,1.0,910,91.0,4,0
119,11088,179.0,5.0,935,93.5,2,0
120,10431,199.0,5.0,820,82.0,2,0
120,10521,,,985,96.33333333333333,1,0
120,10236,,,860,86.0,3,0
120,11229,,,837,83.66666666666667,2,0
119,10781,194.0,1.0,912,91.16666666666667,3,0
119,11082,178.0,2.0,985,98.0,8,0
120,11166,191.0,3.0,890,85.33333333333333,2,0
120,10382,,,860,84.66666666666667,3,0
120,10572,178.0,1.0,962,96.0,3,0
119,10557,178.0,1.0,973,95.83333333333333,2,0
119,10492,179.0,11.0,918,88.83333333333333,2,0
120,10451,190.0,4.0,850,84.16666666666667,3,0
120,10799,191.0,3.0,900,90.0,4,0
120,10789,191.0,1.0,950,92.33333333333333,2,0
120,10698,178.0,2.0,947,93.33333333333333,3,0
120,10590,178.0,1.0,898,87.83333333333333,3,0
119,10233,178.0,1.0,952,95.16666666666667,2,0
119,10432,178.0,1.0,992,99.0,4,0
119,11180,,,0,72.0,2,0
120,10350,178.0,1.0,962,93.83333333333333,5,0
120,10516,194.0,5.0,902,87.33333333333333,8,0
120,10387,178.0,1.0,945,94.0,2,0
120,10647,178.0,2.0,822,82.16666666666667,10,0
119,10261,178.0,1.0,990,99.0,4,0
120,10451,197.0,1.0,965,96.5,3,0
119,10898,191.0,1.0,893,88.5,2,0
120,10495,178.0,1.0,973,96.83333333333333,3,0
119,10974,191.0,5.0,932,90.33333333333333,2,0
120,10316,178.0,2.0,950,93.16666666666667,3,0
120,10327,194.0,3.0,898,89.66666666666667,7,0
119,10672,178.0,1.0,940,93.0,3,0
120,10479,190.0,4.0,818,76.33333333333333,3,0
120,10479,,,817,81.66666666666667,3,0
120,11054,194.0,1.0,927,90.83333333333333,3,0
119,11054,179.0,8.0,807,78.16666666666667,5,0
120,11054,190.0,2.0,890,87.16666666666667,4,0
120,10384,197.0,3.0,872,84.66666666666667,2,0
120,11092,,,0,40.0,2,0
120,11054,178.0,2.0,812,81.16666666666667,5,0
120,10613,179.0,3.0,937,93.66666666666667,4,0
120,10413,178.0,1.0,953,94.16666666666667,3,0
119,10476,178.0,3.0,943,78.5,6,0
120,10504,178.0,1.0,938,91.83333333333333,2,0
120,10338,197.0,1.0,842,83.16666666666667,4,0
120,10574,191.0,1.0,910,91.0,2,0
120,10619,178.0,2.0,897,89.66666666666667,8,0
120,10504,178.0,1.0,875,87.5,2,0
120,10267,190.0,5.0,858,84.5,3,0
120,10768,193.0,5.0,825,82.5,1,0
120,10780,178.0,3.0,947,93.16666666666667,4,0
120,11111,178.0,6.0,937,92.16666666666667,5,0
119,10662,194.0,3.0,972,94.0,4,0
120,10639,190.0,2.0,795,83.5,5,0
120,10228,194.0,1.0,970,96.5,3,0
119,10751,194.0,1.0,933,92.66666666666667,3,0
120,10855,194.0,4.0,880,88.0,5,0
120,10268,178.0,1.0,970,95.5,2,0
120,10565,177.0,4.0,870,82.66666666666667,3,0
120,10978,178.0,1.0,933,91.0,3,0
119,10934,193.0,4.0,907,90.66666666666667,5,0
120,11164,179.0,4.0,900,87.0,5,0
119,11111,194.0,2.0,940,92.83333333333333,8,0
119,11111,178.0,3.0,917,91.66666666666667,2,0
119,11054,178.0,1.0,968,95.16666666666667,2,0
120,11054,194.0,1.0,898,87.5,3,0
120,11140,194.0,2.0,907,90.66666666666667,3,0
120,11020,,,885,85.5,2,0
119,10217,178.0,1.0,933,93.33333333333333,4,0
119,11054,194.0,5.0,965,96.33333333333333,3,0
120,10327,179.0,12.0,885,87.66666666666667,11,0
119,11135,194.0,5.0,863,85.0,3,0
120,10666,,,828,80.33333333333333,3,0
119,10532,190.0,2.0,930,93.0,3,0
119,10217,194.0,1.0,972,96.16666666666667,5,0
120,11062,179.0,1.0,903,90.33333333333333,2,0
120,10386,191.0,1.0,900,90.0,3,0
119,10711,199.0,3.0,912,90.0,1,0
119,10302,,,798,62.5,4,0
120,10753,178.0,1.0,953,78.33333333333333,3,0
120,10628,181.0,1.0,923,87.83333333333333,3,0
120,11021,178.0,1.0,965,96.5,3,0
120,10650,194.0,2.0,812,74.66666666666667,3,0
120,10557,,,745,59.5,2,0
119,10783,178.0,1.0,955,93.5,3,0
120,10685,191.0,1.0,945,93.5,2,0
120,10413,191.0,1.0,912,91.16666666666667,2,0
120,10706,178.0,2.0,957,95.66666666666667,4,0
120,10383,194.0,4.0,840,84.0,5,0
120,10413,,,903,86.5,2,0
120,10568,178.0,1.0,953,95.33333333333333,2,0
120,10698,190.0,3.0,870,82.83333333333333,6,0
120,10834,194.0,1.0,933,92.0,3,0
120,10555,178.0,1.0,890,89.0,3,0
120,10758,194.0,1.0,955,95.0,2,0
120,10619,178.0,1.0,960,95.16666666666667,5,0
119,10316,178.0,1.0,968,96.0,4,0
120,10650,194.0,5.0,920,88.5,4,0
120,10711,,,815,81.5,5,0
120,10733,176.0,9.0,960,95.83333333333333,8,0
119,10338,190.0,7.0,877,85.16666666666667,4,0
120,10293,178.0,2.0,975,96.5,4,0
120,10706,194.0,1.0,872,87.16666666666667,8,0
120,10853,194.0,3.0,857,82.83333333333333,2,0
120,10889,179.0,4.0,870,87.0,1,0
119,10474,178.0,3.0,968,96.66666666666667,4,0
119,10639,178.0,1.0,897,86.0,4,0
120,10750,191.0,1.0,948,93.5,2,0
120,10935,178.0,1.0,903,89.33333333333333,3,0
120,10935,194.0,1.0,928,91.66666666666667,3,0
120,10738,194.0,1.0,912,90.66666666666667,3,0
