GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10781,L6M,196.0,1.0,870,87.0,1,1,29.132
119,10373,L5E,196.0,1.0,940,92.83333333333333,1,1,51.333
120,10639,L5M,196.0,2.0,893,89.33333333333333,2,1,44.036
119,10476,L9H,196.0,1.0,972,97.0,1,1,4.295
120,10725,L5M,196.0,3.0,885,86.33333333333333,3,1,44.036
120,11057,L6C,196.0,4.0,925,90.33333333333333,4,1,101.898
120,10960,L6M,196.0,1.0,963,95.0,1,1,29.132
119,10466,L4H,196.0,3.0,895,86.33333333333333,3,1,82.229
120,10751,L7E,196.0,2.0,907,85.16666666666667,2,1,88.087
120,10565,N9B,196.0,3.0,913,88.66666666666667,3,1,305.875
120,10725,L5B,196.0,3.0,890,87.66666666666667,3,1,49.865
120,10236,,196.0,1.0,885,88.5,1,1,
120,10672,L4C,196.0,1.0,865,85.66666666666667,2,0,96.7
120,10972,L9Y,196.0,1.0,962,95.16666666666667,1,1,182.004
119,10871,L7M,196.0,1.0,910,90.33333333333333,1,1,21.165
119,11130,L5H,196.0,3.0,953,93.66666666666667,3,1,46.357
120,10647,L4S,196.0,10.0,822,82.16666666666667,11,0,104.717
120,10316,L5N,196.0,1.0,930,90.16666666666667,1,1,47.066
119,10546,N5A,196.0,1.0,912,91.16666666666667,1,1,105.998
120,11061,L6W,196.0,2.0,918,91.16666666666667,2,1,61.546
120,10593,L0R,196.0,2.0,935,93.5,2,1,58.645
120,10565,N9G,196.0,1.0,870,86.66666666666667,1,1,297.078
120,10338,L6B,196.0,1.0,873,84.16666666666667,3,0,108.953
119,10649,L5V,196.0,2.0,893,89.33333333333333,2,1,48.809
119,11209,L9H,196.0,5.0,873,82.2,7,0,4.295
119,10725,L5M,196.0,1.0,932,93.16666666666667,1,1,44.036
120,10568,L4H,196.0,4.0,895,89.5,4,1,82.229
120,10851,L5H,196.0,2.0,913,87.0,2,1,46.357
120,10896,L1V,196.0,2.0,893,89.33333333333333,2,1,105.068
119,10984,N5X,196.0,2.0,892,88.0,2,1,132.204
120,10721,L4T,196.0,8.0,912,90.33333333333333,3,0,70.8
120,10246,M5A,196.0,4.0,895,89.16666666666667,4,1,70.198
120,10476,L9H,196.0,2.0,945,93.83333333333333,2,1,4.295
119,10338,L6C,196.0,1.0,965,94.83333333333333,4,0,101.898
120,10853,L9T,196.0,2.0,848,82.5,1,0,36.861
120,11110,M2N,196.0,1.0,937,93.66666666666667,1,1,80.095
120,11024,L9B,196.0,1.0,900,89.0,1,1,14.672
120,10302,L6M,196.0,1.0,908,89.5,1,1,29.132
120,11125,M2J,196.0,2.0,867,86.8,7,0,85.743
120,10934,L1M,196.0,1.0,893,88.16666666666667,1,1,134.784
120,10266,L3X,196.0,1.0,928,92.0,1,1,117.408
120,10799,K1S,196.0,5.0,867,86.66666666666667,5,1,516.275
119,10474,L6L,196.0,3.0,917,90.66666666666667,3,1,26.523
120,10508,L4K,196.0,4.0,928,92.33333333333333,4,1,85.135
119,10798,L7G,196.0,2.0,918,88.33333333333333,2,1,58.494
120,10429,L6H,196.0,4.0,912,89.5,4,1,35.959
